problem,seed,evolved,kind,name,instance,value,gap,seconds,error
tsp,farthest_insertion_b6d3,farthest_insertion_54db,evolved,farthest_insertion_54db,kroA100.tsp,23223.0,9.120383422610658,1.768977165222168,
tsp,farthest_insertion_b6d3,farthest_insertion_54db,evolved,farthest_insertion_54db,kroA150.tsp,28737.0,8.343387121097875,0.5776352882385254,
tsp,farthest_insertion_b6d3,farthest_insertion_54db,evolved,farthest_insertion_54db,kroB100.tsp,23827.0,7.614832211733888,0.21687650680541992,
tsp,farthest_insertion_b6d3,farthest_insertion_54db,evolved,farthest_insertion_54db,kroB200.tsp,31911.0,8.40438903420865,1.4168329238891602,
tsp,farthest_insertion_b6d3,farthest_insertion_54db,evolved,farthest_insertion_54db,kroC100.tsp,22438.0,8.140151332594343,0.21100735664367676,
tsp,farthest_insertion_b6d3,farthest_insertion_54db,evolved,farthest_insertion_54db,bier127.tsp,124748.0,5.4665967771934865,0.42791247367858887,
tsp,farthest_insertion_b6d3,farthest_insertion_54db,evolved,farthest_insertion_54db,tsp225.tsp,4210.0,7.425363613166624,2.079174757003784,
tsp,farthest_insertion_b6d3,farthest_insertion_54db,evolved,farthest_insertion_54db,a280.tsp,2788.0,8.103916246607213,3.9171173572540283,
tsp,farthest_insertion_b6d3,farthest_insertion_54db,evolved,farthest_insertion_54db,pcb442.tsp,54968.0,8.230290619831457,13.901392936706543,
tsp,farthest_insertion_b6d3,farthest_insertion_54db,evolved,farthest_insertion_54db,gr666.tsp,338455.0,14.980737741117958,48.036203145980835,
tsp,farthest_insertion_b6d3,farthest_insertion_54db,evolved,farthest_insertion_54db,pr1002.tsp,287947.0,11.157134860738482,157.07375645637512,
tsp,farthest_insertion_b6d3,farthest_insertion_54db,evolved,farthest_insertion_54db,pr2392.tsp,422412.0,11.739746899733355,2218.7034866809845,
tsp,nearest_neighbor_f91d,nearest_neighbor_e8a4,seed,nearest_neighbor_f91d,kroA100.tsp,27807.0,30.659712433042007,0.09134697914123535,
tsp,nearest_neighbor_f91d,nearest_neighbor_e8a4,seed,nearest_neighbor_f91d,kroA150.tsp,33633.0,26.802141456793848,0.21314024925231934,
tsp,nearest_neighbor_f91d,nearest_neighbor_e8a4,seed,nearest_neighbor_f91d,kroB100.tsp,29158.0,31.692335486202065,0.0952906608581543,
tsp,nearest_neighbor_f91d,nearest_neighbor_e8a4,seed,nearest_neighbor_f91d,kroB200.tsp,36980.0,25.62421442402419,0.4333627223968506,
tsp,nearest_neighbor_f91d,nearest_neighbor_e8a4,seed,nearest_neighbor_f91d,kroC100.tsp,26227.0,26.40127235047472,0.1167302131652832,
tsp,nearest_neighbor_f91d,nearest_neighbor_e8a4,seed,nearest_neighbor_f91d,bier127.tsp,135737.0,14.757105899460612,0.1464216709136963,
tsp,nearest_neighbor_f91d,nearest_neighbor_e8a4,seed,nearest_neighbor_f91d,tsp225.tsp,5030.0,28.349068639959174,0.5338084697723389,
tsp,nearest_neighbor_f91d,nearest_neighbor_e8a4,seed,nearest_neighbor_f91d,a280.tsp,3157.0,22.411787514540517,2.343101739883423,
tsp,nearest_neighbor_f91d,nearest_neighbor_e8a4,seed,nearest_neighbor_f91d,pcb442.tsp,61979.0,22.034732614003307,3.073139190673828,
tsp,nearest_neighbor_f91d,nearest_neighbor_e8a4,seed,nearest_neighbor_f91d,gr666.tsp,366962.0,24.66520359562166,10.66528606414795,
tsp,nearest_neighbor_f91d,nearest_neighbor_e8a4,seed,nearest_neighbor_f91d,pr1002.tsp,331103.0,27.816788588855218,32.87298130989075,
tsp,nearest_neighbor_f91d,nearest_neighbor_e8a4,seed,nearest_neighbor_f91d,pr2392.tsp,461170.0,21.992318110636138,426.82364320755005,
tsp,nearest_neighbor_f91d,nearest_neighbor_e8a4,evolved,nearest_neighbor_e8a4,kroA100.tsp,22239.0,4.496757823512828,0.3093845844268799,
tsp,nearest_neighbor_f91d,nearest_neighbor_e8a4,evolved,nearest_neighbor_e8a4,kroA150.tsp,28387.0,7.02382747700196,0.734919548034668,
tsp,nearest_neighbor_f91d,nearest_neighbor_e8a4,evolved,nearest_neighbor_e8a4,kroB100.tsp,24492.0,10.618309922767716,0.2311713695526123,
tsp,nearest_neighbor_f91d,nearest_neighbor_e8a4,evolved,nearest_neighbor_e8a4,kroB200.tsp,32162.0,9.257057444712437,1.47157883644104,
tsp,nearest_neighbor_f91d,nearest_neighbor_e8a4,evolved,nearest_neighbor_e8a4,kroC100.tsp,22718.0,9.489613957299147,0.2884492874145508,
tsp,nearest_neighbor_f91d,nearest_neighbor_e8a4,evolved,nearest_neighbor_e8a4,bier127.tsp,130351.0,10.203581271875686,0.592904806137085,
tsp,nearest_neighbor_f91d,nearest_neighbor_e8a4,evolved,nearest_neighbor_e8a4,tsp225.tsp,4121.0,5.154376116356214,1.9913630485534668,
tsp,nearest_neighbor_f91d,nearest_neighbor_e8a4,evolved,nearest_neighbor_e8a4,a280.tsp,2789.0,8.1426909654905,3.6526033878326416,
tsp,nearest_neighbor_f91d,nearest_neighbor_e8a4,evolved,nearest_neighbor_e8a4,pcb442.tsp,57351.0,12.92234386075451,13.215274810791016,
tsp,nearest_neighbor_f91d,nearest_neighbor_e8a4,evolved,nearest_neighbor_e8a4,gr666.tsp,331536.0,12.630198601702688,67.79750227928162,
tsp,nearest_neighbor_f91d,nearest_neighbor_e8a4,evolved,nearest_neighbor_e8a4,pr1002.tsp,286686.0,10.670346850933235,159.25074791908264,
tsp,nearest_neighbor_f91d,nearest_neighbor_e8a4,evolved,nearest_neighbor_e8a4,pr2392.tsp,425958.0,12.677762729081135,2087.2681448459625,
cvrp,min_cost_insertion_048f,min_cost_insertion_3b2b,seed,min_cost_insertion_048f,A-n80-k10.vrp,2164.7767313364425,22.85906534259038,0.0693197250366211,
cvrp,min_cost_insertion_048f,min_cost_insertion_3b2b,seed,min_cost_insertion_048f,B-n78-k10.vrp,1871.6522877747984,53.28847565723165,0.07719063758850098,
cvrp,min_cost_insertion_048f,min_cost_insertion_3b2b,seed,min_cost_insertion_048f,E-n101-k14.vrp,1416.035103033964,32.711818466163464,0.13443589210510254,
cvrp,min_cost_insertion_048f,min_cost_insertion_3b2b,seed,min_cost_insertion_048f,F-n135-k7.vrp,1585.1752937368763,36.41783939215802,0.2328493595123291,
cvrp,min_cost_insertion_048f,min_cost_insertion_3b2b,seed,min_cost_insertion_048f,M-n200-k17.vrp,1742.8740944049796,36.69600740431213,0.524683952331543,
cvrp,min_cost_insertion_048f,min_cost_insertion_3b2b,seed,min_cost_insertion_048f,P-n101-k4.vrp,966.0205984398091,41.853244998503534,0.1239776611328125,
cvrp,min_cost_insertion_048f,min_cost_insertion_3b2b,evolved,min_cost_insertion_3b2b,A-n80-k10.vrp,2135.978542450889,21.224661887110617,0.3300197124481201,
cvrp,min_cost_insertion_048f,min_cost_insertion_3b2b,evolved,min_cost_insertion_3b2b,B-n78-k10.vrp,1489.885658207613,22.021757428960935,0.3550682067871094,
cvrp,min_cost_insertion_048f,min_cost_insertion_3b2b,evolved,min_cost_insertion_3b2b,E-n101-k14.vrp,1397.3384384263252,30.959553741923635,0.6437544822692871,
